indicator_code,insee_code,year,value,source_file
catnat_communes_drought_count,92000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,92000,1995,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,92000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,92000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,92000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,92000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,92000,2022,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,93000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,93000,1995,4.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,93000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,93000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,93000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,93000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,93000,2022,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,94000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,94000,1995,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,94000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,94000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,94000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,94000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,94000,2022,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,95000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,95000,1995,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,95000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,95000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,95000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,95000,2017,9.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,95000,2022,23.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_flood_count,75000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,75000,1995,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,75000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,75000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,75000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,75000,2017,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,75000,2022,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,77000,1988,69.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,77000,1995,98.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,77000,2002,4.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,77000,2007,3.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,77000,2012,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,77000,2017,8.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,77000,2022,3.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,78000,1988,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,78000,1995,19.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,78000,2002,4.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,78000,2007,29.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,78000,2012,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,78000,2017,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,78000,2022,6.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,91000,1988,66.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,91000,1995,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,91000,2002,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,91000,2007,4.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,91000,2012,13.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,91000,2017,19.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,91000,2022,17.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,92000,1988,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,92000,1995,6.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,92000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,92000,2007,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,92000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,92000,2017,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,92000,2022,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,93000,1988,14.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,93000,1995,25.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,93000,2002,3.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,93000,2007,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,93000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,93000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,93000,2022,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,94000,1988,42.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,94000,1995,23.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,94000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,94000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,94000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,94000,2017,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,94000,2022,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
